Date,Total PnL,Total Trades Executed (Rolls),NIFTY PnL,BANKNIFTY PnL,NIFTY Rolls,BANKNIFTY Rolls
2022-11-01,-60.05000000000038,408,-2.050000000000089,-58.00000000000029,171,237
2022-11-02,73.3999999999998,517,27.55000000000009,45.84999999999971,255,262
2022-11-03,-338.3000000000002,527,-81.1,-257.20000000000016,272,255
2022-11-04,-93.94999999999982,476,-56.35000000000008,-37.59999999999974,196,280
2022-11-07,-136.84999999999985,318,-36.500000000000014,-100.34999999999982,127,191
2022-11-09,-1.4500000000001592,594,56.900000000000006,-58.350000000000165,291,303
2022-11-10,-205.34999999999997,269,-13.749999999999968,-191.6,72,197
2022-11-11,-112.69999999999943,545,-20.39999999999951,-92.29999999999993,298,247
2022-11-14,-13.350000000000028,385,-0.4499999999997968,-12.900000000000231,94,291
2022-11-15,-88.69999999999995,221,-47.40000000000008,-41.29999999999987,78,143
2022-11-16,3.7500000000000107,539,15.499999999999911,-11.7499999999999,198,341
2022-11-17,-89.64999999999995,301,5.6999999999999895,-95.34999999999994,185,116
2022-11-18,-96.45000000000014,176,-23.15000000000002,-73.30000000000013,103,73
2022-11-21,-126.70000000000012,303,-33.699999999999974,-93.00000000000014,143,160
2022-11-22,-90.39999999999986,199,-28.849999999999987,-61.54999999999987,80,119
2022-11-23,-60.14999999999974,277,-27.15,-32.999999999999744,170,107
2022-11-24,-88.14999999999992,459,-15.250000000000002,-72.89999999999992,242,217
2022-11-25,-30.900000000000162,442,-32.89999999999996,1.999999999999801,228,214
2022-11-28,-109.25000000000054,610,-41.15000000000013,-68.1000000000004,339,271
2022-11-29,-106.15000000000043,222,-48.849999999999966,-57.30000000000047,129,93
2022-11-30,-243.95000000000002,343,-104.5000000000002,-139.44999999999982,245,98
