trade_date,nifty_futures_present,banknifty_futures_present,nifty_option_file_count,banknifty_option_file_count,other_option_file_count
2022-11-01,True,True,855,680,112
2022-11-02,True,True,837,663,75
2022-11-03,True,True,864,724,80
2022-11-04,True,True,747,571,87
2022-11-07,True,True,766,604,111
2022-11-09,True,True,813,629,70
2022-11-10,True,True,847,670,79
2022-11-11,True,True,732,608,94
2022-11-14,True,True,745,606,101
2022-11-15,True,True,746,612,123
2022-11-16,True,True,774,642,76
2022-11-17,True,True,802,669,80
2022-11-18,True,True,713,564,95
2022-11-21,True,True,725,569,100
2022-11-22,True,True,740,594,132
2022-11-23,True,True,773,622,66
2022-11-24,True,True,843,701,78
2022-11-25,True,True,708,546,94
2022-11-28,True,True,727,537,109
2022-11-29,True,True,792,570,152
2022-11-30,True,True,807,598,70
