trade_date,underlier,expiry_date,strike,option_type,instrument_name,filename
2022-11-01,BANKNIFTY,2022-11-03,30500,PE,BANKNIFTY22110330500PE,BANKNIFTY22110330500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,31000,PE,BANKNIFTY22110331000PE,BANKNIFTY22110331000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,31500,PE,BANKNIFTY22110331500PE,BANKNIFTY22110331500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,32000,PE,BANKNIFTY22110332000PE,BANKNIFTY22110332000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,32500,PE,BANKNIFTY22110332500PE,BANKNIFTY22110332500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,33000,PE,BANKNIFTY22110333000PE,BANKNIFTY22110333000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,33500,PE,BANKNIFTY22110333500PE,BANKNIFTY22110333500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,34000,PE,BANKNIFTY22110334000PE,BANKNIFTY22110334000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,34500,PE,BANKNIFTY22110334500PE,BANKNIFTY22110334500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,BANKNIFTY22110335000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35500,PE,BANKNIFTY22110335500PE,BANKNIFTY22110335500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35600,PE,BANKNIFTY22110335600PE,BANKNIFTY22110335600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35700,PE,BANKNIFTY22110335700PE,BANKNIFTY22110335700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35800,PE,BANKNIFTY22110335800PE,BANKNIFTY22110335800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,35900,PE,BANKNIFTY22110335900PE,BANKNIFTY22110335900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36000,CE,BANKNIFTY22110336000CE,BANKNIFTY22110336000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,36000,PE,BANKNIFTY22110336000PE,BANKNIFTY22110336000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36100,PE,BANKNIFTY22110336100PE,BANKNIFTY22110336100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36200,PE,BANKNIFTY22110336200PE,BANKNIFTY22110336200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36300,PE,BANKNIFTY22110336300PE,BANKNIFTY22110336300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36400,PE,BANKNIFTY22110336400PE,BANKNIFTY22110336400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36500,PE,BANKNIFTY22110336500PE,BANKNIFTY22110336500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36600,PE,BANKNIFTY22110336600PE,BANKNIFTY22110336600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36700,PE,BANKNIFTY22110336700PE,BANKNIFTY22110336700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36800,PE,BANKNIFTY22110336800PE,BANKNIFTY22110336800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,36900,PE,BANKNIFTY22110336900PE,BANKNIFTY22110336900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37000,CE,BANKNIFTY22110337000CE,BANKNIFTY22110337000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,37000,PE,BANKNIFTY22110337000PE,BANKNIFTY22110337000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37100,PE,BANKNIFTY22110337100PE,BANKNIFTY22110337100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37200,PE,BANKNIFTY22110337200PE,BANKNIFTY22110337200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37300,PE,BANKNIFTY22110337300PE,BANKNIFTY22110337300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37400,PE,BANKNIFTY22110337400PE,BANKNIFTY22110337400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37500,CE,BANKNIFTY22110337500CE,BANKNIFTY22110337500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,37500,PE,BANKNIFTY22110337500PE,BANKNIFTY22110337500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37600,PE,BANKNIFTY22110337600PE,BANKNIFTY22110337600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37700,PE,BANKNIFTY22110337700PE,BANKNIFTY22110337700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37800,PE,BANKNIFTY22110337800PE,BANKNIFTY22110337800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,37900,PE,BANKNIFTY22110337900PE,BANKNIFTY22110337900PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38000,CE,BANKNIFTY22110338000CE,BANKNIFTY22110338000CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38000,PE,BANKNIFTY22110338000PE,BANKNIFTY22110338000PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38100,PE,BANKNIFTY22110338100PE,BANKNIFTY22110338100PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38200,PE,BANKNIFTY22110338200PE,BANKNIFTY22110338200PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38300,PE,BANKNIFTY22110338300PE,BANKNIFTY22110338300PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38400,PE,BANKNIFTY22110338400PE,BANKNIFTY22110338400PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38500,CE,BANKNIFTY22110338500CE,BANKNIFTY22110338500CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38500,PE,BANKNIFTY22110338500PE,BANKNIFTY22110338500PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38600,CE,BANKNIFTY22110338600CE,BANKNIFTY22110338600CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38600,PE,BANKNIFTY22110338600PE,BANKNIFTY22110338600PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38700,PE,BANKNIFTY22110338700PE,BANKNIFTY22110338700PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38800,CE,BANKNIFTY22110338800CE,BANKNIFTY22110338800CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38800,PE,BANKNIFTY22110338800PE,BANKNIFTY22110338800PE.csv
2022-11-01,BANKNIFTY,2022-11-03,38900,CE,BANKNIFTY22110338900CE,BANKNIFTY22110338900CE.csv
2022-11-01,BANKNIFTY,2022-11-03,38900,PE,BANKNIFTY22110338900PE,BANKNIFTY22110338900PE.csv
