trade_date,filename,underlier,expiry_date,strike,option_type,instrument_name,parse_status,failure_reason
2022-11-01,BANKNIFTY22110330500PE.csv,BANKNIFTY,2022-11-03,30500,PE,BANKNIFTY22110330500PE,OK,None
2022-11-01,BANKNIFTY22110331000PE.csv,BANKNIFTY,2022-11-03,31000,PE,BANKNIFTY22110331000PE,OK,None
2022-11-01,BANKNIFTY22110331500PE.csv,BANKNIFTY,2022-11-03,31500,PE,BANKNIFTY22110331500PE,OK,None
2022-11-01,BANKNIFTY22110332000PE.csv,BANKNIFTY,2022-11-03,32000,PE,BANKNIFTY22110332000PE,OK,None
2022-11-01,BANKNIFTY22110332500PE.csv,BANKNIFTY,2022-11-03,32500,PE,BANKNIFTY22110332500PE,OK,None
2022-11-01,BANKNIFTY22110333000PE.csv,BANKNIFTY,2022-11-03,33000,PE,BANKNIFTY22110333000PE,OK,None
2022-11-01,BANKNIFTY22110333500PE.csv,BANKNIFTY,2022-11-03,33500,PE,BANKNIFTY22110333500PE,OK,None
2022-11-01,BANKNIFTY22110334000PE.csv,BANKNIFTY,2022-11-03,34000,PE,BANKNIFTY22110334000PE,OK,None
2022-11-01,BANKNIFTY22110334500PE.csv,BANKNIFTY,2022-11-03,34500,PE,BANKNIFTY22110334500PE,OK,None
2022-11-01,BANKNIFTY22110335000PE.csv,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,OK,None
2022-11-01,BANKNIFTY22110335500PE.csv,BANKNIFTY,2022-11-03,35500,PE,BANKNIFTY22110335500PE,OK,None
2022-11-01,BANKNIFTY22110335600PE.csv,BANKNIFTY,2022-11-03,35600,PE,BANKNIFTY22110335600PE,OK,None
2022-11-01,BANKNIFTY22110335700PE.csv,BANKNIFTY,2022-11-03,35700,PE,BANKNIFTY22110335700PE,OK,None
2022-11-01,BANKNIFTY22110335800PE.csv,BANKNIFTY,2022-11-03,35800,PE,BANKNIFTY22110335800PE,OK,None
2022-11-01,BANKNIFTY22110335900PE.csv,BANKNIFTY,2022-11-03,35900,PE,BANKNIFTY22110335900PE,OK,None
2022-11-01,BANKNIFTY22110336000CE.csv,BANKNIFTY,2022-11-03,36000,CE,BANKNIFTY22110336000CE,OK,None
2022-11-01,BANKNIFTY22110336000PE.csv,BANKNIFTY,2022-11-03,36000,PE,BANKNIFTY22110336000PE,OK,None
2022-11-01,BANKNIFTY22110336100PE.csv,BANKNIFTY,2022-11-03,36100,PE,BANKNIFTY22110336100PE,OK,None
2022-11-01,BANKNIFTY22110336200PE.csv,BANKNIFTY,2022-11-03,36200,PE,BANKNIFTY22110336200PE,OK,None
2022-11-01,BANKNIFTY22110336300PE.csv,BANKNIFTY,2022-11-03,36300,PE,BANKNIFTY22110336300PE,OK,None
2022-11-01,BANKNIFTY22110336400PE.csv,BANKNIFTY,2022-11-03,36400,PE,BANKNIFTY22110336400PE,OK,None
2022-11-01,BANKNIFTY22110336500PE.csv,BANKNIFTY,2022-11-03,36500,PE,BANKNIFTY22110336500PE,OK,None
2022-11-01,BANKNIFTY22110336600PE.csv,BANKNIFTY,2022-11-03,36600,PE,BANKNIFTY22110336600PE,OK,None
2022-11-01,BANKNIFTY22110336700PE.csv,BANKNIFTY,2022-11-03,36700,PE,BANKNIFTY22110336700PE,OK,None
2022-11-01,BANKNIFTY22110336800PE.csv,BANKNIFTY,2022-11-03,36800,PE,BANKNIFTY22110336800PE,OK,None
2022-11-01,BANKNIFTY22110336900PE.csv,BANKNIFTY,2022-11-03,36900,PE,BANKNIFTY22110336900PE,OK,None
2022-11-01,BANKNIFTY22110337000CE.csv,BANKNIFTY,2022-11-03,37000,CE,BANKNIFTY22110337000CE,OK,None
2022-11-01,BANKNIFTY22110337000PE.csv,BANKNIFTY,2022-11-03,37000,PE,BANKNIFTY22110337000PE,OK,None
2022-11-01,BANKNIFTY22110337100PE.csv,BANKNIFTY,2022-11-03,37100,PE,BANKNIFTY22110337100PE,OK,None
2022-11-01,BANKNIFTY22110337200PE.csv,BANKNIFTY,2022-11-03,37200,PE,BANKNIFTY22110337200PE,OK,None
2022-11-01,BANKNIFTY22110337300PE.csv,BANKNIFTY,2022-11-03,37300,PE,BANKNIFTY22110337300PE,OK,None
2022-11-01,BANKNIFTY22110337400PE.csv,BANKNIFTY,2022-11-03,37400,PE,BANKNIFTY22110337400PE,OK,None
2022-11-01,BANKNIFTY22110337500CE.csv,BANKNIFTY,2022-11-03,37500,CE,BANKNIFTY22110337500CE,OK,None
2022-11-01,BANKNIFTY22110337500PE.csv,BANKNIFTY,2022-11-03,37500,PE,BANKNIFTY22110337500PE,OK,None
2022-11-01,BANKNIFTY22110337600PE.csv,BANKNIFTY,2022-11-03,37600,PE,BANKNIFTY22110337600PE,OK,None
2022-11-01,BANKNIFTY22110337700PE.csv,BANKNIFTY,2022-11-03,37700,PE,BANKNIFTY22110337700PE,OK,None
2022-11-01,BANKNIFTY22110337800PE.csv,BANKNIFTY,2022-11-03,37800,PE,BANKNIFTY22110337800PE,OK,None
2022-11-01,BANKNIFTY22110337900PE.csv,BANKNIFTY,2022-11-03,37900,PE,BANKNIFTY22110337900PE,OK,None
2022-11-01,BANKNIFTY22110338000CE.csv,BANKNIFTY,2022-11-03,38000,CE,BANKNIFTY22110338000CE,OK,None
2022-11-01,BANKNIFTY22110338000PE.csv,BANKNIFTY,2022-11-03,38000,PE,BANKNIFTY22110338000PE,OK,None
2022-11-01,BANKNIFTY22110338100PE.csv,BANKNIFTY,2022-11-03,38100,PE,BANKNIFTY22110338100PE,OK,None
2022-11-01,BANKNIFTY22110338200PE.csv,BANKNIFTY,2022-11-03,38200,PE,BANKNIFTY22110338200PE,OK,None
2022-11-01,BANKNIFTY22110338300PE.csv,BANKNIFTY,2022-11-03,38300,PE,BANKNIFTY22110338300PE,OK,None
2022-11-01,BANKNIFTY22110338400PE.csv,BANKNIFTY,2022-11-03,38400,PE,BANKNIFTY22110338400PE,OK,None
2022-11-01,BANKNIFTY22110338500CE.csv,BANKNIFTY,2022-11-03,38500,CE,BANKNIFTY22110338500CE,OK,None
2022-11-01,BANKNIFTY22110338500PE.csv,BANKNIFTY,2022-11-03,38500,PE,BANKNIFTY22110338500PE,OK,None
2022-11-01,BANKNIFTY22110338600CE.csv,BANKNIFTY,2022-11-03,38600,CE,BANKNIFTY22110338600CE,OK,None
2022-11-01,BANKNIFTY22110338600PE.csv,BANKNIFTY,2022-11-03,38600,PE,BANKNIFTY22110338600PE,OK,None
2022-11-01,BANKNIFTY22110338700PE.csv,BANKNIFTY,2022-11-03,38700,PE,BANKNIFTY22110338700PE,OK,None
2022-11-01,BANKNIFTY22110338800CE.csv,BANKNIFTY,2022-11-03,38800,CE,BANKNIFTY22110338800CE,OK,None
2022-11-01,BANKNIFTY22110338800PE.csv,BANKNIFTY,2022-11-03,38800,PE,BANKNIFTY22110338800PE,OK,None
2022-11-01,BANKNIFTY22110338900CE.csv,BANKNIFTY,2022-11-03,38900,CE,BANKNIFTY22110338900CE,OK,None
2022-11-01,BANKNIFTY22110338900PE.csv,BANKNIFTY,2022-11-03,38900,PE,BANKNIFTY22110338900PE,OK,None
2022-11-01,BANKNIFTY22110339000CE.csv,BANKNIFTY,2022-11-03,39000,CE,BANKNIFTY22110339000CE,OK,None
2022-11-01,BANKNIFTY22110339000PE.csv,BANKNIFTY,2022-11-03,39000,PE,BANKNIFTY22110339000PE,OK,None
2022-11-01,BANKNIFTY22110339100CE.csv,BANKNIFTY,2022-11-03,39100,CE,BANKNIFTY22110339100CE,OK,None
2022-11-01,BANKNIFTY22110339100PE.csv,BANKNIFTY,2022-11-03,39100,PE,BANKNIFTY22110339100PE,OK,None
2022-11-01,BANKNIFTY22110339200CE.csv,BANKNIFTY,2022-11-03,39200,CE,BANKNIFTY22110339200CE,OK,None
2022-11-01,BANKNIFTY22110339200PE.csv,BANKNIFTY,2022-11-03,39200,PE,BANKNIFTY22110339200PE,OK,None
2022-11-01,BANKNIFTY22110339300CE.csv,BANKNIFTY,2022-11-03,39300,CE,BANKNIFTY22110339300CE,OK,None
2022-11-01,BANKNIFTY22110339300PE.csv,BANKNIFTY,2022-11-03,39300,PE,BANKNIFTY22110339300PE,OK,None
2022-11-01,BANKNIFTY22110339400CE.csv,BANKNIFTY,2022-11-03,39400,CE,BANKNIFTY22110339400CE,OK,None
2022-11-01,BANKNIFTY22110339400PE.csv,BANKNIFTY,2022-11-03,39400,PE,BANKNIFTY22110339400PE,OK,None
2022-11-01,BANKNIFTY22110339500CE.csv,BANKNIFTY,2022-11-03,39500,CE,BANKNIFTY22110339500CE,OK,None
2022-11-01,BANKNIFTY22110339500PE.csv,BANKNIFTY,2022-11-03,39500,PE,BANKNIFTY22110339500PE,OK,None
2022-11-01,BANKNIFTY22110339600CE.csv,BANKNIFTY,2022-11-03,39600,CE,BANKNIFTY22110339600CE,OK,None
2022-11-01,BANKNIFTY22110339600PE.csv,BANKNIFTY,2022-11-03,39600,PE,BANKNIFTY22110339600PE,OK,None
