trade_date,timestamp,underlier,state,strike,ce_instrument,ce_entry_price,pe_instrument,pe_entry_price,trigger
2022-11-01,2022-11-01 09:15:00,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,69.65,NIFTY22110318150PE,107.1,ENTRY
2022-11-01,2022-11-01 09:48:41,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,60.6,NIFTY22110318200PE,127.0,ROLL
2022-11-01,2022-11-01 09:56:35,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,85.05,NIFTY22110318150PE,100.8,ROLL
2022-11-01,2022-11-01 09:56:36,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.0,NIFTY22110318200PE,127.0,ROLL
2022-11-01,2022-11-01 12:16:01,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,81.4,NIFTY22110318150PE,102.45,ROLL
2022-11-01,2022-11-01 12:16:15,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,59.65,NIFTY22110318200PE,129.9,ROLL
2022-11-01,2022-11-01 12:16:17,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,82.3,NIFTY22110318150PE,101.8,ROLL
2022-11-01,2022-11-01 12:16:18,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,60.0,NIFTY22110318200PE,129.35,ROLL
2022-11-01,2022-11-01 12:33:43,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.9,NIFTY22110318150PE,103.6,ROLL
2022-11-01,2022-11-01 12:33:44,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.95,NIFTY22110318200PE,131.15,ROLL
2022-11-01,2022-11-01 12:34:29,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.7,NIFTY22110318150PE,104.35,ROLL
2022-11-01,2022-11-01 12:34:37,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.85,NIFTY22110318200PE,130.85,ROLL
2022-11-01,2022-11-01 12:34:55,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,85.0,NIFTY22110318150PE,104.5,ROLL
2022-11-01,2022-11-01 12:37:59,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.9,NIFTY22110318200PE,131.65,ROLL
2022-11-01,2022-11-01 12:38:00,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.0,NIFTY22110318150PE,104.05,ROLL
2022-11-01,2022-11-01 12:38:01,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.55,NIFTY22110318200PE,131.65,ROLL
2022-11-01,2022-11-01 12:38:04,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.5,NIFTY22110318150PE,103.55,ROLL
2022-11-01,2022-11-01 12:38:07,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.4,NIFTY22110318200PE,130.45,ROLL
2022-11-01,2022-11-01 12:38:08,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.55,NIFTY22110318150PE,103.15,ROLL
2022-11-01,2022-11-01 12:38:09,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.4,NIFTY22110318200PE,130.2,ROLL
2022-11-01,2022-11-01 12:38:44,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.3,NIFTY22110318150PE,103.85,ROLL
2022-11-01,2022-11-01 12:38:46,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.85,NIFTY22110318200PE,131.65,ROLL
2022-11-01,2022-11-01 12:38:47,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.15,NIFTY22110318150PE,104.1,ROLL
2022-11-01,2022-11-01 12:41:29,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.55,NIFTY22110318200PE,130.6,ROLL
2022-11-01,2022-11-01 12:41:31,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,83.6,NIFTY22110318150PE,103.9,ROLL
2022-11-01,2022-11-01 12:43:04,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.8,NIFTY22110318200PE,131.2,ROLL
2022-11-01,2022-11-01 12:43:08,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.3,NIFTY22110318150PE,104.35,ROLL
2022-11-01,2022-11-01 12:43:26,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,62.45,NIFTY22110318200PE,131.2,ROLL
2022-11-01,2022-11-01 12:56:00,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.05,NIFTY22110318150PE,102.95,ROLL
2022-11-01,2022-11-01 12:56:04,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.8,NIFTY22110318200PE,130.6,ROLL
2022-11-01,2022-11-01 12:56:05,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.1,NIFTY22110318150PE,102.55,ROLL
2022-11-01,2022-11-01 12:56:07,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,61.8,NIFTY22110318200PE,130.7,ROLL
2022-11-01,2022-11-01 12:56:08,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,84.2,NIFTY22110318150PE,102.65,ROLL
2022-11-01,2022-11-01 13:06:09,NIFTY,HOLDING,18100.0,NIFTY22110318100CE,86.0,NIFTY22110318100PE,106.45,ROLL
2022-11-01,2022-11-01 13:06:24,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,64.95,NIFTY22110318150PE,133.2,ROLL
2022-11-01,2022-11-01 13:06:42,NIFTY,HOLDING,18100.0,NIFTY22110318100CE,88.15,NIFTY22110318100PE,104.7,ROLL
2022-11-01,2022-11-01 13:06:43,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,65.85,NIFTY22110318150PE,130.8,ROLL
2022-11-01,2022-11-01 13:11:15,NIFTY,HOLDING,18100.0,NIFTY22110318100CE,84.6,NIFTY22110318100PE,105.5,ROLL
2022-11-01,2022-11-01 13:15:58,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,61.85,NIFTY22110318150PE,130.7,ROLL
2022-11-01,2022-11-01 13:16:01,NIFTY,HOLDING,18100.0,NIFTY22110318100CE,84.55,NIFTY22110318100PE,104.15,ROLL
2022-11-01,2022-11-01 13:16:04,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,61.2,NIFTY22110318150PE,130.85,ROLL
