trade_date,timestamp,underlier,state,strike,ce_instrument,ce_entry_price,ce_entry_timestamp,pe_instrument,pe_entry_price,pe_entry_timestamp,trigger
2022-11-01,2022-11-01 09:15:00,NIFTY,HOLDING,18150.0,NIFTY22110318150CE,69.65,2022-11-01 09:15:00,NIFTY22110318150PE,107.1,2022-11-01 09:15:00,ENTRY
2022-11-01,2022-11-01 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-01,2022-11-01 09:15:00,BANKNIFTY,HOLDING,41600.0,BANKNIFTY22110341600CE,270.0,2022-11-01 09:15:00,BANKNIFTY22110341600PE,414.15,2022-11-01 09:15:00,ENTRY
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-02,2022-11-02 09:15:01,NIFTY,HOLDING,18200.0,NIFTY22110318200CE,64.0,2022-11-02 09:15:01,NIFTY22110318200PE,96.05,2022-11-02 09:15:01,ENTRY
2022-11-02,2022-11-02 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-02,2022-11-02 09:15:01,BANKNIFTY,HOLDING,41500.0,BANKNIFTY22110341500CE,216.05,2022-11-02 09:15:01,BANKNIFTY22110341500PE,302.35,2022-11-02 09:15:01,ENTRY
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-03,2022-11-03 09:15:00,NIFTY,HOLDING,18000.0,NIFTY22110318000CE,65.0,2022-11-03 09:15:00,NIFTY22110318000PE,67.15,2022-11-03 09:15:00,ENTRY
2022-11-03,2022-11-03 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-03,2022-11-03 09:15:00,BANKNIFTY,HOLDING,41000.0,BANKNIFTY22110341000CE,175.0,2022-11-03 09:15:00,BANKNIFTY22110341000PE,247.0,2022-11-03 09:15:00,ENTRY
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-04,2022-11-04 09:15:00,NIFTY,HOLDING,18100.0,NIFTY22111018100CE,122.3,2022-11-04 09:15:00,NIFTY22111018100PE,153.1,2022-11-04 09:15:00,ENTRY
2022-11-04,2022-11-04 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-04,2022-11-04 09:15:02,BANKNIFTY,HOLDING,41500.0,BANKNIFTY22111041500CE,325.0,2022-11-04 09:15:02,BANKNIFTY22111041500PE,410.9,2022-11-04 09:15:02,ENTRY
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-07,2022-11-07 09:15:00,NIFTY,HOLDING,18300.0,NIFTY22111018300CE,67.9,2022-11-07 09:15:00,NIFTY22111018300PE,139.85,2022-11-07 09:15:00,ENTRY
2022-11-07,2022-11-07 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-07,2022-11-07 09:15:00,BANKNIFTY,HOLDING,41800.0,BANKNIFTY22111041800CE,249.7,2022-11-07 09:15:00,BANKNIFTY22111041800PE,329.95,2022-11-07 09:15:00,ENTRY
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-09,2022-11-09 09:15:00,NIFTY,HOLDING,18350.0,NIFTY22111018350CE,43.05,2022-11-09 09:15:00,NIFTY22111018350PE,82.05,2022-11-09 09:15:00,ENTRY
2022-11-09,2022-11-09 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-09,2022-11-09 09:15:00,BANKNIFTY,HOLDING,42000.0,BANKNIFTY22111042000CE,160.0,2022-11-09 09:15:00,BANKNIFTY22111042000PE,294.65,2022-11-09 09:15:00,ENTRY
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-10,2022-11-10 09:15:00,NIFTY,HOLDING,18100.0,NIFTY22111018100CE,35.4,2022-11-10 09:15:00,NIFTY22111018100PE,58.05,2022-11-10 09:15:00,ENTRY
2022-11-10,2022-11-10 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
