trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-01,2022-11-01 09:15:00,NIFTY,2022-11-03,18150,CE,NIFTY22110318150CE,BUY,69.65,1,ENTRY
2022-11-01,2022-11-01 09:15:00,NIFTY,2022-11-03,18150,PE,NIFTY22110318150PE,BUY,107.1,1,ENTRY
2022-11-01,2022-11-01 15:29:59,NIFTY,2022-11-03,18150,CE,NIFTY22110318150CE,SELL,92.0,1,SQUAREOFF
2022-11-01,2022-11-01 15:29:59,NIFTY,2022-11-03,18150,PE,NIFTY22110318150PE,SELL,79.25,1,SQUAREOFF
2022-11-01,2022-11-01 09:15:00,BANKNIFTY,2022-11-03,41600,CE,BANKNIFTY22110341600CE,BUY,270.0,1,ENTRY
2022-11-01,2022-11-01 09:15:00,BANKNIFTY,2022-11-03,41600,PE,BANKNIFTY22110341600PE,BUY,414.15,1,ENTRY
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,2022-11-03,41600,CE,BANKNIFTY22110341600CE,SELL,160.0,1,SQUAREOFF
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,2022-11-03,41600,PE,BANKNIFTY22110341600PE,SELL,440.0,1,SQUAREOFF
2022-11-02,2022-11-02 09:15:01,NIFTY,2022-11-03,18200,CE,NIFTY22110318200CE,BUY,64.0,1,ENTRY
2022-11-02,2022-11-02 09:15:01,NIFTY,2022-11-03,18200,PE,NIFTY22110318200PE,BUY,96.05,1,ENTRY
2022-11-02,2022-11-02 15:29:59,NIFTY,2022-11-03,18200,CE,NIFTY22110318200CE,SELL,35.0,1,SQUAREOFF
2022-11-02,2022-11-02 15:29:59,NIFTY,2022-11-03,18200,PE,NIFTY22110318200PE,SELL,145.0,1,SQUAREOFF
2022-11-02,2022-11-02 09:15:01,BANKNIFTY,2022-11-03,41500,CE,BANKNIFTY22110341500CE,BUY,216.05,1,ENTRY
2022-11-02,2022-11-02 09:15:01,BANKNIFTY,2022-11-03,41500,PE,BANKNIFTY22110341500PE,BUY,302.35,1,ENTRY
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,2022-11-03,41500,CE,BANKNIFTY22110341500CE,SELL,101.0,1,SQUAREOFF
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,2022-11-03,41500,PE,BANKNIFTY22110341500PE,SELL,455.0,1,SQUAREOFF
2022-11-03,2022-11-03 09:15:00,NIFTY,2022-11-03,18000,CE,NIFTY22110318000CE,BUY,65.0,1,ENTRY
2022-11-03,2022-11-03 09:15:00,NIFTY,2022-11-03,18000,PE,NIFTY22110318000PE,BUY,67.15,1,ENTRY
2022-11-03,2022-11-03 15:29:59,NIFTY,2022-11-03,18000,CE,NIFTY22110318000CE,SELL,52.55,1,SQUAREOFF
2022-11-03,2022-11-03 15:29:59,NIFTY,2022-11-03,18000,PE,NIFTY22110318000PE,SELL,0.05,1,SQUAREOFF
2022-11-03,2022-11-03 09:15:00,BANKNIFTY,2022-11-03,41000,CE,BANKNIFTY22110341000CE,BUY,175.0,1,ENTRY
2022-11-03,2022-11-03 09:15:00,BANKNIFTY,2022-11-03,41000,PE,BANKNIFTY22110341000PE,BUY,247.0,1,ENTRY
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,2022-11-03,41000,CE,BANKNIFTY22110341000CE,SELL,297.75,1,SQUAREOFF
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,2022-11-03,41000,PE,BANKNIFTY22110341000PE,SELL,0.1,1,SQUAREOFF
2022-11-04,2022-11-04 09:15:00,NIFTY,2022-11-10,18100,CE,NIFTY22111018100CE,BUY,122.3,1,ENTRY
2022-11-04,2022-11-04 09:15:00,NIFTY,2022-11-10,18100,PE,NIFTY22111018100PE,BUY,153.1,1,ENTRY
2022-11-04,2022-11-04 15:29:59,NIFTY,2022-11-10,18100,CE,NIFTY22111018100CE,SELL,151.1,1,SQUAREOFF
2022-11-04,2022-11-04 15:29:59,NIFTY,2022-11-10,18100,PE,NIFTY22111018100PE,SELL,85.45,1,SQUAREOFF
2022-11-04,2022-11-04 09:15:02,BANKNIFTY,2022-11-10,41500,CE,BANKNIFTY22111041500CE,BUY,325.0,1,ENTRY
2022-11-04,2022-11-04 09:15:02,BANKNIFTY,2022-11-10,41500,PE,BANKNIFTY22111041500PE,BUY,410.9,1,ENTRY
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,2022-11-10,41500,CE,BANKNIFTY22111041500CE,SELL,272.0,1,SQUAREOFF
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,2022-11-10,41500,PE,BANKNIFTY22111041500PE,SELL,422.0,1,SQUAREOFF
2022-11-07,2022-11-07 09:15:00,NIFTY,2022-11-10,18300,CE,NIFTY22111018300CE,BUY,67.9,1,ENTRY
2022-11-07,2022-11-07 09:15:00,NIFTY,2022-11-10,18300,PE,NIFTY22111018300PE,BUY,139.85,1,ENTRY
2022-11-07,2022-11-07 15:29:59,NIFTY,2022-11-10,18300,CE,NIFTY22111018300CE,SELL,41.45,1,SQUAREOFF
2022-11-07,2022-11-07 15:29:59,NIFTY,2022-11-10,18300,PE,NIFTY22111018300PE,SELL,130.3,1,SQUAREOFF
2022-11-07,2022-11-07 09:15:00,BANKNIFTY,2022-11-10,41800,CE,BANKNIFTY22111041800CE,BUY,249.7,1,ENTRY
2022-11-07,2022-11-07 09:15:00,BANKNIFTY,2022-11-10,41800,PE,BANKNIFTY22111041800PE,BUY,329.95,1,ENTRY
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,2022-11-10,41800,CE,BANKNIFTY22111041800CE,SELL,219.65,1,SQUAREOFF
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,2022-11-10,41800,PE,BANKNIFTY22111041800PE,SELL,258.65,1,SQUAREOFF
2022-11-09,2022-11-09 09:15:00,NIFTY,2022-11-10,18350,CE,NIFTY22111018350CE,BUY,43.05,1,ENTRY
2022-11-09,2022-11-09 09:15:00,NIFTY,2022-11-10,18350,PE,NIFTY22111018350PE,BUY,82.05,1,ENTRY
2022-11-09,2022-11-09 15:29:59,NIFTY,2022-11-10,18350,CE,NIFTY22111018350CE,SELL,4.15,1,SQUAREOFF
2022-11-09,2022-11-09 15:29:59,NIFTY,2022-11-10,18350,PE,NIFTY22111018350PE,SELL,216.0,1,SQUAREOFF
2022-11-09,2022-11-09 09:15:00,BANKNIFTY,2022-11-10,42000,CE,BANKNIFTY22111042000CE,BUY,160.0,1,ENTRY
2022-11-09,2022-11-09 09:15:00,BANKNIFTY,2022-11-10,42000,PE,BANKNIFTY22111042000PE,BUY,294.65,1,ENTRY
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,42000,CE,BANKNIFTY22111042000CE,SELL,51.05,1,SQUAREOFF
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,42000,PE,BANKNIFTY22111042000PE,SELL,310.9,1,SQUAREOFF
2022-11-10,2022-11-10 09:15:00,NIFTY,2022-11-10,18100,CE,NIFTY22111018100CE,BUY,35.4,1,ENTRY
2022-11-10,2022-11-10 09:15:00,NIFTY,2022-11-10,18100,PE,NIFTY22111018100PE,BUY,58.05,1,ENTRY
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,18100,CE,NIFTY22111018100CE,SELL,0.05,1,SQUAREOFF
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,18100,PE,NIFTY22111018100PE,SELL,71.55,1,SQUAREOFF
2022-11-10,2022-11-10 09:15:00,BANKNIFTY,2022-11-10,41700,CE,BANKNIFTY22111041700CE,BUY,77.3,1,ENTRY
2022-11-10,2022-11-10 09:15:00,BANKNIFTY,2022-11-10,41700,PE,BANKNIFTY22111041700PE,BUY,200.0,1,ENTRY
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,2022-11-10,41700,CE,BANKNIFTY22111041700CE,SELL,0.05,1,SQUAREOFF
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,2022-11-10,41700,PE,BANKNIFTY22111041700PE,SELL,94.5,1,SQUAREOFF
2022-11-11,2022-11-11 09:15:01,NIFTY,2022-11-17,18350,CE,NIFTY22111718350CE,BUY,93.05,1,ENTRY
2022-11-11,2022-11-11 09:15:01,NIFTY,2022-11-17,18350,PE,NIFTY22111718350PE,BUY,142.65,1,ENTRY
2022-11-11,2022-11-11 15:29:59,NIFTY,2022-11-17,18350,CE,NIFTY22111718350CE,SELL,134.0,1,SQUAREOFF
2022-11-11,2022-11-11 15:29:59,NIFTY,2022-11-17,18350,PE,NIFTY22111718350PE,SELL,82.5,1,SQUAREOFF
2022-11-11,2022-11-11 09:15:00,BANKNIFTY,2022-11-17,42200,CE,BANKNIFTY22111742200CE,BUY,332.0,1,ENTRY
2022-11-11,2022-11-11 09:15:00,BANKNIFTY,2022-11-17,42200,PE,BANKNIFTY22111742200PE,BUY,382.0,1,ENTRY
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,2022-11-17,42200,CE,BANKNIFTY22111742200CE,SELL,306.0,1,SQUAREOFF
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,2022-11-17,42200,PE,BANKNIFTY22111742200PE,SELL,314.7,1,SQUAREOFF
2022-11-14,2022-11-14 09:15:01,NIFTY,2022-11-17,18450,CE,NIFTY22111718450CE,BUY,67.8,1,ENTRY
2022-11-14,2022-11-14 09:15:01,NIFTY,2022-11-17,18450,PE,NIFTY22111718450PE,BUY,127.7,1,ENTRY
2022-11-14,2022-11-14 15:29:59,NIFTY,2022-11-17,18450,CE,NIFTY22111718450CE,SELL,37.9,1,SQUAREOFF
2022-11-14,2022-11-14 15:29:59,NIFTY,2022-11-17,18450,PE,NIFTY22111718450PE,SELL,163.2,1,SQUAREOFF
2022-11-14,2022-11-14 09:15:01,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,BUY,228.6,1,ENTRY
2022-11-14,2022-11-14 09:15:01,BANKNIFTY,2022-11-17,42300,PE,BANKNIFTY22111742300PE,BUY,335.45,1,ENTRY
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,2022-11-17,42300,CE,BANKNIFTY22111742300CE,SELL,160.75,1,SQUAREOFF
