trade_date,timestamp,underlier,state,strike,ce_instrument,ce_entry_price,ce_entry_timestamp,pe_instrument,pe_entry_price,pe_entry_timestamp,trigger
2022-11-01,2022-11-01 09:44:22,NIFTY,HOLDING,15000.0,NIFTY22110315000CE,3097.9,2022-11-01 09:44:22,NIFTY22110315000PE,0.35,2022-11-01 09:44:22,ENTRY
2022-11-01,2022-11-01 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-01,2022-11-01 12:33:43,BANKNIFTY,HOLDING,36000.0,BANKNIFTY22110336000CE,5352.85,2022-11-01 12:33:43,BANKNIFTY22110336000PE,1.85,2022-11-01 12:33:43,ENTRY
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-02,2022-11-02 10:19:02,NIFTY,HOLDING,16000.0,NIFTY22110316000CE,2110.0,2022-11-02 10:19:02,NIFTY22110316000PE,0.7,2022-11-02 10:19:02,ENTRY
2022-11-02,2022-11-02 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-02,2022-11-02 09:33:34,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22110335000CE,6325.0,2022-11-02 09:33:34,BANKNIFTY22110335000PE,1.75,2022-11-02 09:33:34,ENTRY
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-03,2022-11-03 10:29:29,NIFTY,HOLDING,16000.0,NIFTY22110316000CE,2100.05,2022-11-03 10:29:29,NIFTY22110316000PE,0.25,2022-11-03 10:29:29,ENTRY
2022-11-03,2022-11-03 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-03,2022-11-03 09:42:22,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22110335000CE,6200.0,2022-11-03 09:42:22,BANKNIFTY22110335000PE,1.2,2022-11-03 09:42:22,ENTRY
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-04,2022-11-04 09:24:08,NIFTY,HOLDING,15100.0,NIFTY22111015100CE,2961.35,2022-11-04 09:24:08,NIFTY22111015100PE,0.8,2022-11-04 09:24:08,ENTRY
2022-11-04,2022-11-04 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-04,2022-11-04 09:19:02,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22111035000CE,6471.05,2022-11-04 09:19:02,BANKNIFTY22111035000PE,2.75,2022-11-04 09:19:02,ENTRY
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-07,2022-11-07 11:38:30,NIFTY,HOLDING,15100.0,NIFTY22111015100CE,3089.25,2022-11-07 11:38:30,NIFTY22111015100PE,0.5,2022-11-07 11:38:30,ENTRY
2022-11-07,2022-11-07 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-07,2022-11-07 09:38:07,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22111035000CE,6586.35,2022-11-07 09:38:07,BANKNIFTY22111035000PE,1.85,2022-11-07 09:38:07,ENTRY
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-09,2022-11-09 09:39:51,NIFTY,HOLDING,14800.0,NIFTY22111014800CE,3435.15,2022-11-09 09:39:51,NIFTY22111014800PE,0.45,2022-11-09 09:39:51,ENTRY
2022-11-09,2022-11-09 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-09,2022-11-09 15:21:00,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22111035000CE,6760.6,2022-11-09 15:21:00,BANKNIFTY22111035000PE,0.9,2022-11-09 15:21:00,ENTRY
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
