trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-01,2022-11-01 09:44:22,NIFTY,2022-11-03,15000,CE,NIFTY22110315000CE,BUY,3097.9,1,ENTRY
2022-11-01,2022-11-01 09:44:22,NIFTY,2022-11-03,15000,PE,NIFTY22110315000PE,BUY,0.35,1,ENTRY
2022-11-01,2022-11-01 15:29:59,NIFTY,2022-11-03,15000,CE,NIFTY22110315000CE,SELL,3164.05,1,SQUAREOFF
2022-11-01,2022-11-01 15:29:59,NIFTY,2022-11-03,15000,PE,NIFTY22110315000PE,SELL,0.8,1,SQUAREOFF
2022-11-01,2022-11-01 12:33:43,BANKNIFTY,2022-11-03,36000,CE,BANKNIFTY22110336000CE,BUY,5352.85,1,ENTRY
2022-11-01,2022-11-01 12:33:43,BANKNIFTY,2022-11-03,36000,PE,BANKNIFTY22110336000PE,BUY,1.85,1,ENTRY
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,2022-11-03,36000,CE,BANKNIFTY22110336000CE,SELL,5450.65,1,SQUAREOFF
2022-11-01,2022-11-01 15:29:59,BANKNIFTY,2022-11-03,36000,PE,BANKNIFTY22110336000PE,SELL,1.9,1,SQUAREOFF
2022-11-02,2022-11-02 10:19:02,NIFTY,2022-11-03,16000,CE,NIFTY22110316000CE,BUY,2110.0,1,ENTRY
2022-11-02,2022-11-02 10:19:02,NIFTY,2022-11-03,16000,PE,NIFTY22110316000PE,BUY,0.7,1,ENTRY
2022-11-02,2022-11-02 15:29:59,NIFTY,2022-11-03,16000,CE,NIFTY22110316000CE,SELL,2080.0,1,SQUAREOFF
2022-11-02,2022-11-02 15:29:59,NIFTY,2022-11-03,16000,PE,NIFTY22110316000PE,SELL,0.35,1,SQUAREOFF
2022-11-02,2022-11-02 09:33:34,BANKNIFTY,2022-11-03,35000,CE,BANKNIFTY22110335000CE,BUY,6325.0,1,ENTRY
2022-11-02,2022-11-02 09:33:34,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,BUY,1.75,1,ENTRY
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,2022-11-03,35000,CE,BANKNIFTY22110335000CE,SELL,6380.0,1,SQUAREOFF
2022-11-02,2022-11-02 15:29:59,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,SELL,0.95,1,SQUAREOFF
2022-11-03,2022-11-03 10:29:29,NIFTY,2022-11-03,16000,CE,NIFTY22110316000CE,BUY,2100.05,1,ENTRY
2022-11-03,2022-11-03 10:29:29,NIFTY,2022-11-03,16000,PE,NIFTY22110316000PE,BUY,0.25,1,ENTRY
2022-11-03,2022-11-03 15:29:59,NIFTY,2022-11-03,16000,CE,NIFTY22110316000CE,SELL,2022.0,1,SQUAREOFF
2022-11-03,2022-11-03 15:29:59,NIFTY,2022-11-03,16000,PE,NIFTY22110316000PE,SELL,0.05,1,SQUAREOFF
2022-11-03,2022-11-03 09:42:22,BANKNIFTY,2022-11-03,35000,CE,BANKNIFTY22110335000CE,BUY,6200.0,1,ENTRY
2022-11-03,2022-11-03 09:42:22,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,BUY,1.2,1,ENTRY
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,2022-11-03,35000,CE,BANKNIFTY22110335000CE,SELL,6330.0,1,SQUAREOFF
2022-11-03,2022-11-03 15:29:59,BANKNIFTY,2022-11-03,35000,PE,BANKNIFTY22110335000PE,SELL,0.05,1,SQUAREOFF
2022-11-04,2022-11-04 09:24:08,NIFTY,2022-11-10,15100,CE,NIFTY22111015100CE,BUY,2961.35,1,ENTRY
2022-11-04,2022-11-04 09:24:08,NIFTY,2022-11-10,15100,PE,NIFTY22111015100PE,BUY,0.8,1,ENTRY
2022-11-04,2022-11-04 15:29:59,NIFTY,2022-11-10,15100,CE,NIFTY22111015100CE,SELL,3000.7,1,SQUAREOFF
2022-11-04,2022-11-04 15:29:59,NIFTY,2022-11-10,15100,PE,NIFTY22111015100PE,SELL,0.6,1,SQUAREOFF
2022-11-04,2022-11-04 09:19:02,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,BUY,6471.05,1,ENTRY
2022-11-04,2022-11-04 09:19:02,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,BUY,2.75,1,ENTRY
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,SELL,6176.0,1,SQUAREOFF
2022-11-04,2022-11-04 15:29:59,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,SELL,2.3,1,SQUAREOFF
2022-11-07,2022-11-07 11:38:30,NIFTY,2022-11-10,15100,CE,NIFTY22111015100CE,BUY,3089.25,1,ENTRY
2022-11-07,2022-11-07 11:38:30,NIFTY,2022-11-10,15100,PE,NIFTY22111015100PE,BUY,0.5,1,ENTRY
2022-11-07,2022-11-07 15:29:59,NIFTY,2022-11-10,15100,CE,NIFTY22111015100CE,SELL,3089.25,1,SQUAREOFF
2022-11-07,2022-11-07 15:29:59,NIFTY,2022-11-10,15100,PE,NIFTY22111015100PE,SELL,0.45,1,SQUAREOFF
2022-11-07,2022-11-07 09:38:07,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,BUY,6586.35,1,ENTRY
2022-11-07,2022-11-07 09:38:07,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,BUY,1.85,1,ENTRY
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,SELL,6526.05,1,SQUAREOFF
2022-11-07,2022-11-07 15:29:59,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,SELL,1.45,1,SQUAREOFF
2022-11-09,2022-11-09 09:39:51,NIFTY,2022-11-10,14800,CE,NIFTY22111014800CE,BUY,3435.15,1,ENTRY
2022-11-09,2022-11-09 09:39:51,NIFTY,2022-11-10,14800,PE,NIFTY22111014800PE,BUY,0.45,1,ENTRY
2022-11-09,2022-11-09 15:29:59,NIFTY,2022-11-10,14800,CE,NIFTY22111014800CE,SELL,3432.55,1,SQUAREOFF
2022-11-09,2022-11-09 15:29:59,NIFTY,2022-11-10,14800,PE,NIFTY22111014800PE,SELL,0.2,1,SQUAREOFF
2022-11-09,2022-11-09 15:21:00,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,BUY,6760.6,1,ENTRY
2022-11-09,2022-11-09 15:21:00,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,BUY,0.9,1,ENTRY
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,35000,CE,BANKNIFTY22111035000CE,SELL,6760.6,1,SQUAREOFF
2022-11-09,2022-11-09 15:29:59,BANKNIFTY,2022-11-10,35000,PE,BANKNIFTY22111035000PE,SELL,0.85,1,SQUAREOFF
2022-11-10,2022-11-10 09:30:41,NIFTY,2022-11-10,16000,CE,NIFTY22111016000CE,BUY,2065.0,1,ENTRY
2022-11-10,2022-11-10 09:30:41,NIFTY,2022-11-10,16000,PE,NIFTY22111016000PE,BUY,0.35,1,ENTRY
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,16000,CE,NIFTY22111016000CE,SELL,1987.85,1,SQUAREOFF
2022-11-10,2022-11-10 15:29:59,NIFTY,2022-11-10,16000,PE,NIFTY22111016000PE,SELL,0.05,1,SQUAREOFF
